id,symbol,name,current_price_usd,market_cap_usd,total_volume_usd,high_24h_usd,low_24h_usd,price_change_24h,price_volatility_24h,market_cap_to_volume_ratio,normalized_price,price_movement_category,log_market_cap_usd,log_total_volume_usd,hour_of_day,day_of_week,last_updated
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),0.99989,445147995,24429726.0,0.999938,0.999701,0.00884,0.00023700000000004273,18.22157133485656,0.00034985608355806623,stable,19.913917360120514,17.011311268386386,14,5,2025-03-01 14:21:40.231000+00:00
usdb,usdb,USDB,0.990316,402114220,2769278.0,1.011,0.975674,-1.33007,0.03532599999999986,145.20543621839337,0.00034650598918446133,down,19.812246738066285,14.834097555473846,14,5,2025-03-01 14:21:43.037000+00:00
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.086,381127607,10340384.0,1.093,1.078,-0.22109,0.014999999999999902,36.858167646385276,0.0003799873376327599,down,19.75864480614859,16.15156766039394,14,5,2025-03-01 14:21:33.324000+00:00
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,372657211,0.0,1.0,1.0,0.0,0.0,inf,0.00034989457430186155,stable,19.736169552385263,0.0,14,5,2025-03-01 14:20:06.224000+00:00
binance-peg-busd,busd,Binance-Peg BUSD,1.002,323838454,9198216.0,1.009,0.99615,0.12486,0.012849999999999917,35.206658986916594,0.00035059440600723133,up,19.595755353737434,16.034520218888954,14,5,2025-03-01 14:21:39.149000+00:00
elixir-deusd,deusd,Elixir deUSD,0.999945,288661672,1263298.0,1.001,0.99947,-0.02325,0.0015299999999999203,228.49847937699576,0.00034987532892996387,down,19.480765878632756,14.0492371112402,14,5,2025-03-01 14:21:42.502000+00:00
quorium,qgold,Quorium,2765.78,232325471,160356.0,2858.88,2714.49,-3.13265,144.39000000000033,1448.8105901868344,0.9677902457603584,down,19.26364984304233,11.98515785867424,14,5,2025-03-01 14:21:35.385000+00:00
usda-2,usda,USDa,0.99617,222518132,2169975.0,0.999416,0.993098,0.08822,0.006317999999999935,102.54409935598336,0.00034855439658607854,up,19.220519152879113,14.590226665547647,14,5,2025-03-01 14:21:42.999000+00:00
gho,gho,GHO,0.998747,207177495,15978252.0,0.999788,0.998388,-0.02338,0.0013999999999999568,12.966217769002517,0.00034945612973844747,down,19.149086452412494,16.586739168170887,14,5,2025-03-01 14:21:33.499000+00:00
usdd,usdd,USDD,0.999543,203553397,25493098.0,1.0,0.999202,0.03067,0.0007979999999999654,7.984647334741348,0.00034973466275718456,up,19.13143892646098,17.053918346051457,14,5,2025-03-01 14:21:30.041000+00:00
elixir-staked-deusd,sdeusd,Elixir Staked deUSD,1.03,179459350,583484.0,1.033,1.028,-0.06608,0.004999999999999893,307.5651603128792,0.0003603920498824075,down,19.005459283422876,13.276774023437445,14,5,2025-03-01 14:21:42.528000+00:00
ripple-usd,rlusd,Ripple USD,0.999828,132405566,138116847.0,1.004,0.992739,-0.0354,0.011260999999999965,0.9586489184769762,0.0003498343887751998,down,18.701380247411034,18.743610609490077,14,5,2025-03-01 14:21:36.499000+00:00
stasis-eurs,eurs,STASIS EURO,1.05,130293830,85799.0,1.052,1.035,0.02344,0.017000000000000126,1518.5938064546208,0.0003673903669361048,up,18.685302696384873,11.359774285476053,14,5,2025-03-01 14:21:39.476000+00:00
euro-coin,eurc,EURC,1.036,117894301,19667917.0,1.041,1.035,-0.41043,0.006000000000000005,5.994244382869828,0.0003624915449985167,down,18.58529903524726,16.794499338296408,14,5,2025-03-01 14:21:43.400000+00:00
global-dollar,usdg,Global Dollar,0.999805,117628374,13382.09,1.0,0.932002,-0.0195,0.067998,8789.985271358959,0.000349826340710588,down,18.5830408483381,9.501747248723325,14,5,2025-03-01 14:21:43.584000+00:00
anzen-usdz,usdz,Anzen USDz,0.977137,103986506,282556.0,0.978715,0.973664,0.08143,0.005051000000000028,368.0208737383032,0.0003418944481619275,up,18.459771708304018,12.551635579127327,14,5,2025-03-01 14:21:36.195000+00:00
resolv-rlp,rlp,Resolv RLP,1.17,103193728,699559.0,1.17,1.16,0.37073,0.010000000000000009,147.51254433150027,0.00040938026925828834,up,18.452118643661564,13.458206844963128,14,5,2025-03-01 14:21:36.305000+00:00
astherus-usdf,usdf,Astherus USDF,0.998835,94641762,460223.0,0.999215,0.996955,0.15229,0.0022599999999999287,205.64326858935777,0.0003494869223334837,up,18.365609405947794,13.039468606462165,14,5,2025-03-01 14:21:37.046000+00:00
crvusd,crvusd,crvUSD,0.999959,85655246,20153651.0,1.001,0.999325,-0.04417,0.001674999999999871,4.250110612712307,0.0003498802277519015,down,18.265841041803736,16.818896070629645,14,5,2025-03-01 14:21:41.421000+00:00
terrausd,ustc,TerraClassicUSD,0.01478046,82158054,6848630.0,0.01528507,0.01440432,2.5653,0.0008807499999999996,11.996275751500665,5.150638880972749e-06,up,18.22415544998401,15.739559336250334,14,5,2025-03-01 14:21:42.208000+00:00
paxos-standard,usdp,Pax Dollar,0.999951,80575891,3094087.0,1.0,0.99986,0.0091,0.000140000000000029,26.041895719157218,0.00034987742842508004,stable,18.204710056035776,14.945003751856767,14,5,2025-03-01 14:21:38.927000+00:00
frax-usd,frxusd,Frax USD,0.995201,77416160,1398264.0,0.996387,0.994989,-0.06532,0.0013980000000000103,55.365910872338844,0.0003482153281248269,down,18.164706115214205,14.150742740321627,14,5,2025-03-01 14:21:43.312000+00:00
staked-frax,sfrax,Staked FRAX,1.1,69807505,134.25,1.12,1.098,-0.89919,0.02200000000000002,519981.4152700186,0.00038488615957034796,down,18.061252097767657,4.907124917726591,14,5,2025-03-01 14:21:38.981000+00:00
binance-usd,busd,BUSD,0.997178,60319826,2366.15,1.007,0.994988,-0.22225,0.012011999999999912,25492.815755552267,0.0003489071117655849,down,17.915171413622726,7.769441978862251,14,5,2025-03-01 14:21:38.373000+00:00
usdx,usdx,USDX,0.537508,59968740,20345.0,0.579178,0.531777,-5.38311,0.047400999999999915,2947.591054313099,0.00018806129176193373,down,17.90933400109407,9.920639611353694,14,5,2025-03-01 14:21:43.497000+00:00
lift-dollar,usdl,Lift Dollar,0.999858,56759252,24749.0,1.001,0.999691,-0.0139,0.0013089999999998936,2293.3957735666086,0.0003498448862507803,down,17.85432924949298,10.116580767996837,14,5,2025-03-01 14:21:32.685000+00:00
magic-internet-money,mim,Magic Internet Money (Ethereum),0.998801,55417808,925509.0,1.004,0.997985,-0.03833,0.006014999999999993,59.878194593461544,0.00034947502519449246,down,17.830411562153508,13.738100215907602,14,5,2025-03-01 14:21:32.495000+00:00
susda,susda,sUSDa,1.041,53754014,199.5,1.061,1.041,-1.93033,0.020000000000000018,269443.679197995,0.00036424112426194097,down,17.799928919856733,5.300814246746624,14,5,2025-03-01 14:21:41.302000+00:00
liquity-usd,lusd,Liquity USD,0.998759,53557918,274573.0,1.0,0.998182,-0.11458,0.0018179999999999863,195.05893878859175,0.00034946032872867964,down,17.79627422441032,12.522976084657746,14,5,2025-03-01 14:21:32.637000+00:00
gemini-dollar,gusd,Gemini Dollar,0.999595,53132476,1853858.0,1.009,0.993558,0.18744,0.015441999999999845,28.660488559533686,0.0003497528583815242,up,17.788298918834826,14.432779970435918,14,5,2025-03-01 14:21:31.422000+00:00
dola-usd,dola,DOLA,0.994676,50729605,1470264.0,0.996639,0.991724,0.06322,0.004915000000000003,34.50373878432717,0.00034803162230216737,up,17.742020242905184,14.200953214616698,14,5,2025-03-01 14:21:42.650000+00:00
usd,usd+,Overnight.fi USD+,0.999472,48058086,441405.0,1.006,0.99365,-0.02074,0.012349999999999972,108.8752642131376,0.00034970981873164397,down,17.687920983069226,12.997720365825211,14,5,2025-03-01 14:21:43.055000+00:00
mountain-protocol-usdm,usdm,Mountain Protocol USD,0.999429,47973113,747286.0,1.001,0.998387,-0.03547,0.0026129999999998654,64.1964562429913,0.0003496947723499785,down,17.686151286943556,13.524204593808285,14,5,2025-03-01 14:21:32.895000+00:00
societe-generale-forge-eurcv,eurcv,EUR CoinVertible,1.052,43298148,31574.0,87.62400134383839,85.62065501464645,0.0036013131313131033,2.0033463291919418,1371.322860581491,0.00036809019864147453,stable,17.583620443791087,10.360120947218691,17,2,2025-02-26 17:19:08.772000+00:00
reservoir-rusd,rusd,Reservoir rUSD,1.001,38924312,11352.88,1.001,1.0,-0.00987,0.0009999999999998899,3428.5848172446113,0.00035024449015454644,stable,17.47712962620296,9.33731481471234,14,5,2025-03-01 14:21:36.233000+00:00
falcon-finance,usdf,Falcon USD,0.999975,37611696,44443.0,1.008,0.993065,0.30346,0.014935000000000032,846.2906644465945,0.00034988582640554445,up,17.442825650407062,10.701985248703899,14,5,2025-03-01 14:21:42.718000+00:00
