ID,Symbol,Name,Current_Price_USD,Market_Cap_USD,Total_Volume_USD,High_24h_USD,Low_24h_USD,Price_Change_24h,Last_Updated
gyroscope-gyd,gyd,Gyroscope GYD,0.999622,24199627,1711187.0,1.0,0.999488,-0.02427,2025-03-01T14:21:30.824Z
electronic-usd,eusd,Electronic USD,1.002,23907758,1238766.0,1.002,0.994313,0.37507,2025-03-01T14:21:42.435Z
xsgd,xsgd,XSGD,0.74099,23423039,19505550.0,0.75043,0.735389,0.12946,2025-03-01T14:21:31.381Z
bilira,tryb,BiLira,0.02708916,20215071,3965.78,0.02781145,0.02686888,-1.23392,2025-03-01T14:21:38.244Z
nusd,susd,sUSD,0.981081,19895815,183341.0,0.983965,0.980003,-0.05529,2025-03-01T14:21:33.666Z
ageur,eura,EURA,1.028,18914718,642381.0,1.056,1.025,-1.51518,2025-03-01T14:21:34.937Z
savings-crvusd,scrvusd,Savings crvUSD,1.041,18800751,906867.0,1.042,1.04,0.03334,2025-03-01T14:21:43.162Z
mnee-usd-stablecoin,mnee,MNEE USD Stablecoin,1.002,18504323,87109.0,1.003,0.996792,0.13746,2025-03-01T14:21:41.329Z
zusd,zusd,ZUSD,0.996093,18430731,10.02,0.996144,0.995632,0.01136,2025-03-01T08:49:32.973Z
orby-network-usc-stablecoin,usc,Orby Network USC Stablecoin,1.002,18300753,28189.0,1.011,0.992946,-0.04245,2025-03-01T14:21:33.711Z
rupiah-token,idrt,Rupiah Token,6.081e-05,17702902,6210.67,6.124e-05,5.93e-05,-0.4973,2025-03-01T14:21:36.858Z
frankencoin,zchf,Frankencoin,1.11,16250263,18310.75,1.12,1.11,-0.15236,2025-03-01T14:21:43.134Z
token-dforce-usd,usx,dForce USD,0.999152,15611017,17831.0,1.003,0.997671,0.09138,2025-03-01T14:21:42.578Z
alchemix-usd,alusd,Alchemix USD,0.98251,15348464,122556.0,0.984411,0.981505,-0.10019,2025-03-01T14:21:35.351Z
worldwide-usd,wusd,Worldwide USD,0.999022,14369477,11063952.0,1.0,0.998278,-0.00899,2025-03-01T14:21:30.520Z
agora-dollar,ausd,AUSD,0.999485,13814670,4442353.0,1.0,0.997825,0.01298,2025-03-01T14:21:41.465Z
avant-usd,avusd,Avant USD,0.997998,12874118,179183.0,1.0,0.995551,-0.20992,2025-03-01T14:21:40.616Z
yusd-stablecoin,yusd,YUSD Stablecoin,0.991118,11754712,10.92,0.991985,0.990953,-0.03198,2025-03-01T14:21:30.995Z
flex-usd,flexusd,flexUSD,0.06719,11177035,9.96,0.067929,0.06342,5.50674,2025-03-01T14:21:43.372Z
pinto,pinto,Pinto,0.900219,11013605,1431373.0,0.919479,0.800608,12.44189,2025-03-01T14:21:34.380Z
